"","date","var","lwr","med","upr","trim","convergence_code","province_name","province","value","type"
"1",2020-09-15,"H",26,34,45,"full",0,"Alberta","AB",41,"fit"
"2",2020-09-15,"ICU",4,8,13,"full",0,"Alberta","AB",8,"fit"
"3",2020-09-15,"death",0,1,3,"full",0,"Alberta","AB",NA,"fit"
"4",2020-09-15,"report",126.95,148,171,"full",0,"Alberta","AB",124,"fit"
"5",2020-09-16,"H",27,36,47,"full",0,"Alberta","AB",37,"fit"
"6",2020-09-16,"ICU",4,9,13,"full",0,"Alberta","AB",9,"fit"
"7",2020-09-16,"death",0,1,4,"full",0,"Alberta","AB",NA,"fit"
"8",2020-09-16,"report",129,152,173,"full",0,"Alberta","AB",171,"fit"
"9",2020-09-17,"H",28,37,48,"full",0,"Alberta","AB",37,"fit"
"10",2020-09-17,"ICU",4,9,14,"full",0,"Alberta","AB",9,"fit"
"11",2020-09-17,"death",0,1,4,"full",0,"Alberta","AB",NA,"fit"
"12",2020-09-17,"report",135.95,156.5,182,"full",0,"Alberta","AB",146,"fit"
"13",2020-09-18,"H",28,38,49,"full",0,"Alberta","AB",44,"fit"
"14",2020-09-18,"ICU",4,9,15,"full",0,"Alberta","AB",7,"fit"
"15",2020-09-18,"death",0,1,4,"full",0,"Alberta","AB",1,"fit"
"16",2020-09-18,"report",140,161,184,"full",0,"Alberta","AB",107,"fit"
"17",2020-09-19,"H",28,39,51,"full",0,"Alberta","AB",49,"fit"
"18",2020-09-19,"ICU",5,10,15,"full",0,"Alberta","AB",9,"fit"
"19",2020-09-19,"death",0,1,4,"full",0,"Alberta","AB",NA,"fit"
"20",2020-09-19,"report",142.95,164,187.05,"full",0,"Alberta","AB",NA,"fit"
"21",2020-09-20,"H",30,40,51,"full",0,"Alberta","AB",47,"fit"
"22",2020-09-20,"ICU",5,10,15,"full",0,"Alberta","AB",11,"fit"
"23",2020-09-20,"death",0,1,4,"full",0,"Alberta","AB",NA,"fit"
"24",2020-09-20,"report",148,170,194,"full",0,"Alberta","AB",NA,"fit"
"25",2020-09-21,"H",31,41,53,"full",0,"Alberta","AB",49,"fit"
"26",2020-09-21,"ICU",5,10,15,"full",0,"Alberta","AB",12,"fit"
"27",2020-09-21,"death",0,2,4,"full",0,"Alberta","AB",1,"fit"
"28",2020-09-21,"report",150,175,198.05,"full",0,"Alberta","AB",358,"fit"
"29",2020-09-22,"H",30.95,42,54,"full",0,"Alberta","AB",51,"fit"
"30",2020-09-22,"ICU",5.95,10,16,"full",0,"Alberta","AB",12,"fit"
"31",2020-09-22,"death",0,2,4,"full",0,"Alberta","AB",2,"fit"
"32",2020-09-22,"report",156.95,180,205,"full",0,"Alberta","AB",150,"fit"
"33",2020-09-23,"H",32,43,56,"full",0,"Alberta","AB",48,"fit"
"34",2020-09-23,"ICU",6,11,16,"full",0,"Alberta","AB",13,"fit"
"35",2020-09-23,"death",0,2,4,"full",0,"Alberta","AB",2,"fit"
"36",2020-09-23,"report",160.95,183,209,"full",0,"Alberta","AB",143,"fit"
"37",2020-09-24,"H",34,44,56,"full",0,"Alberta","AB",48,"fit"
"38",2020-09-24,"ICU",5,11,17,"full",0,"Alberta","AB",15,"fit"
"39",2020-09-24,"death",0,2,5,"full",0,"Alberta","AB",1,"fit"
"40",2020-09-24,"report",166.95,190,216,"full",0,"Alberta","AB",158,"fit"
"41",2020-09-25,"H",35,45,58,"full",0,"Alberta","AB",50,"fit"
"42",2020-09-25,"ICU",6,11,17,"full",0,"Alberta","AB",15,"fit"
"43",2020-09-25,"death",0,2,4,"full",0,"Alberta","AB",NA,"fit"
"44",2020-09-25,"report",170.95,193,219,"full",0,"Alberta","AB",153,"fit"
"45",2020-09-26,"H",36,47,60,"full",0,"Alberta","AB",48,"fit"
"46",2020-09-26,"ICU",6,11,16,"full",0,"Alberta","AB",16,"fit"
"47",2020-09-26,"death",0,2,5,"full",0,"Alberta","AB",NA,"fit"
"48",2020-09-26,"report",174.95,200,227,"full",0,"Alberta","AB",NA,"fit"
"49",2020-09-27,"H",36.95,49,60,"full",0,"Alberta","AB",46,"fit"
"50",2020-09-27,"ICU",6,12,18,"full",0,"Alberta","AB",16,"fit"
"51",2020-09-27,"death",0,2,5,"full",0,"Alberta","AB",NA,"fit"
"52",2020-09-27,"report",181,205.5,233.05,"full",0,"Alberta","AB",NA,"fit"
"53",2020-09-28,"H",38,49,62,"full",0,"Alberta","AB",48,"fit"
"54",2020-09-28,"ICU",7,12,18,"full",0,"Alberta","AB",15,"fit"
"55",2020-09-28,"death",0,2,5,"full",0,"Alberta","AB",4,"fit"
"56",2020-09-28,"report",184,211,238,"full",0,"Alberta","AB",406,"fit"
"57",2020-09-29,"H",40,51,63,"full",0,"Alberta","AB",50,"fit"
